Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-1.1017710032670553,-2045.8688473286365
10-14 years,-0.46526893486425536,-1142.776836048065
15-19 years,-2.270154227014875,-5704.115799477225
20-24 years,-4.171782485187535,-10556.019791722283
25-29 years,-3.2391400420287653,-8005.164963212498
30-34 years,-1.668412568880008,-4054.731437313479
35-39 years,-0.7919049485219176,-1914.5820053922687
40-44 years,9.26862271112742,22558.077206798924
45-49 years,23.01705292803274,55928.30323216971
5-9 years,0.2888517682410434,683.2913881638946
50-54 years,42.16562459517371,99581.23666568442
55-59 years,44.452914467666574,96061.00605490948
60-64 years,54.750620249446854,100526.10162787809
65-69 years,41.67051081272996,61262.27483911184
70-74 years,49.41595186169263,55840.000895736746
75-79 years,98.43319380329854,80223.17500684863
80-84 years,234.01785246577765,125589.30312211576
< 1 year,47.51990623770732,21952.953085874542
