Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	299	55141393	0.542242376793056
1-4 years	M	361	57592037	0.626822767182206
10-14 years	F	171	70946390	0.241027062828708
10-14 years	M	189	74346273	0.254215836750821
15-19 years	F	247	74597953	0.33110828121517
15-19 years	M	348	78726350	0.442037513488178
20-24 years	F	553	73754628	0.749783457656379
20-24 years	M	747	77247274	0.967024415644751
25-29 years	F	1023	72642061	1.40827502127177
25-29 years	M	1568	73771513	2.12548168830426
30-34 years	F	1812	69208434	2.6181780099229
30-34 years	M	2909	69581216	4.1807260166307
35-39 years	F	3507	71466469	4.90719640843036
35-39 years	M	5856	71026064	8.24486064721255
40-44 years	F	7364	75182391	9.79484677469223
40-44 years	M	12548	74260384	16.8973001809417
45-49 years	F	13517	79848889	16.9282255135698
45-49 years	M	24724	77905451	31.7359051037391
5-9 years	F	151	68744459	0.219654066955418
5-9 years	M	162	71785330	0.225672849870579
50-54 years	F	18534	77921219	23.7855621842877
50-54 years	M	37725	74871731	50.3861731205333
55-59 years	F	20466	69915755	29.2723721570338
55-59 years	M	42118	65723918	64.0832154893748
60-64 years	F	21696	58345098	37.1856432566109
60-64 years	M	37203	53767510	69.1923431083195
65-69 years	F	22417	44744864	50.0996047278186
65-69 years	M	30836	39751700	77.5715252429456
70-74 years	F	26185	34985842	74.8445614085835
70-74 years	M	28305	29338685	96.4767166626589
75-79 years	F	33120	29298124	113.044780614622
75-79 years	M	29895	22386145	133.542420992985
80-84 years	F	41620	24187176	172.074656421237
80-84 years	M	31091	15919008	195.307396038748
< 1 year	F	1091	13794201	7.90912065149696
< 1 year	M	1541	14415623	10.6897912077751
