Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	90	22336273	0.402932037945632
1-4 years	M	94	23348094	0.402602456543134
10-14 years	F	62	30807002	0.201252948923754
10-14 years	M	96	32285044	0.297351306072248
15-19 years	F	101	31361771	0.322048139437023
15-19 years	M	152	32799616	0.463420059551917
20-24 years	F	231	32216459	0.717024797790471
20-24 years	M	434	33608072	1.29135643365677
25-29 years	F	898	33209958	2.70400823752924
25-29 years	M	1508	34606926	4.35750924540365
30-34 years	F	2229	34168790	6.52349702755058
30-34 years	M	3664	35080377	10.4445855869793
35-39 years	F	3755	32891850	11.4162018858775
35-39 years	M	6227	33503721	18.5859952690031
40-44 years	F	5081	31319891	16.2229172508934
40-44 years	M	8243	31519949	26.1516920601616
45-49 years	F	6671	29782564	22.399011717057
45-49 years	M	10738	29593650	36.2848110996785
5-9 years	F	46	29583597	0.155491571900469
5-9 years	M	64	30954857	0.206752691508153
50-54 years	F	10044	31187369	32.2053456962016
50-54 years	M	16455	30922631	53.2134539263493
55-59 years	F	14197	32621517	43.5203549853307
55-59 years	M	23783	31515910	75.4634722589321
60-64 years	F	17803	32546006	54.7010284457024
60-64 years	M	27924	30608745	91.2288301921559
65-69 years	F	18824	28886944	65.1643870670432
65-69 years	M	26403	26012465	101.501337916264
70-74 years	F	20647	24153717	85.4816672729916
70-74 years	M	23676	20950833	113.00743984738
75-79 years	F	19808	16896822	117.229145220326
75-79 years	M	19923	13855780	143.78836846428
80-84 years	F	18998	11154711	170.313690780514
80-84 years	M	16203	8270854	195.904800157275
< 1 year	F	193	5370106	3.59397002591755
< 1 year	M	277	5612510	4.93540323313455
