Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	560	55141393	1.01557100670271
1-4 years	M	646	57592037	1.12168284653658
10-14 years	F	237	70946390	0.334055051990665
10-14 years	M	272	74346273	0.365855595747214
15-19 years	F	425	74597953	0.569720726787235
15-19 years	M	453	78726350	0.575410901178576
20-24 years	F	852	73754628	1.15518174669663
20-24 years	M	1184	77247274	1.53274017151725
25-29 years	F	1550	72642061	2.13375003222995
25-29 years	M	2377	73771513	3.22211095223166
30-34 years	F	2492	69208434	3.60071721894473
30-34 years	M	3676	69581216	5.28303500760895
35-39 years	F	3996	71466469	5.59143337555966
35-39 years	M	6512	71026064	9.16846525523363
40-44 years	F	6324	75182391	8.41154413405128
40-44 years	M	11809	74260384	15.9021531588094
45-49 years	F	9366	79848889	11.7296560005988
45-49 years	M	18212	77905451	23.3770548353542
5-9 years	F	223	68744459	0.324389781000386
5-9 years	M	282	71785330	0.392837923848786
50-54 years	F	12294	77921219	15.7774739124654
50-54 years	M	24422	74871731	32.6184524837552
55-59 years	F	14043	69915755	20.0856015929457
55-59 years	M	26237	65723918	39.9200181583819
60-64 years	F	14573	58345098	24.977248302848
60-64 years	M	21694	53767510	40.3477862374508
65-69 years	F	15979	44744864	35.7113611966728
65-69 years	M	18797	39751700	47.2860280189275
70-74 years	F	19071	34985842	54.510621753794
70-74 years	M	19478	29338685	66.3901602951871
75-79 years	F	25564	29298124	87.2547334430013
75-79 years	M	23389	22386145	104.479802127611
80-84 years	F	33496	24187176	138.486609598409
80-84 years	M	26395	15919008	165.808070452631
< 1 year	F	1773	13794201	12.8532272365757
< 1 year	M	2217	14415623	15.3791480257218
