Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	524	45676672	1.14719391115009
1-4 years	M	657	47757977	1.37568641150776
10-14 years	F	298	61847729	0.481828524374759
10-14 years	M	320	64960054	0.492610427940839
15-19 years	F	470	60483811	0.777067437103128
15-19 years	M	527	64188665	0.821017231001766
20-24 years	F	848	59376552	1.4281731953718
20-24 years	M	1037	61985703	1.67296642582242
25-29 years	F	1851	56633003	3.26841223658933
25-29 years	M	2471	57672370	4.28454734910322
30-34 years	F	3454	60792859	5.68158835892222
30-34 years	M	6357	61383658	10.3561765576108
35-39 years	F	5580	64957965	8.59017058185243
35-39 years	M	12867	64673296	19.8953830959845
40-44 years	F	7810	68912428	11.3332242480268
40-44 years	M	17971	67757258	26.5226199088517
45-49 years	F	8700	65053497	13.3736084933297
45-49 years	M	21349	63195287	33.7825825523982
5-9 years	F	258	58128639	0.443843180295345
5-9 years	M	284	60930800	0.466102529426825
50-54 years	F	8692	58107486	14.9584857276393
50-54 years	M	20012	55645932	35.9630960983815
55-59 years	F	8118	47669658	17.0297005277445
55-59 years	M	14805	44836574	33.0199180695653
60-64 years	F	8827	37430470	23.582391564947
60-64 years	M	11912	34102355	34.9301389889349
65-69 years	F	10805	31525239	34.2741255665024
65-69 years	M	12526	27391872	45.7288935929607
70-74 years	F	15159	28979391	52.3095878722917
70-74 years	M	15573	23317343	66.787197838107
75-79 years	F	21241	26104765	81.3682865944206
75-79 years	M	19305	18659772	103.457855755151
80-84 years	F	25058	19836633	126.321841010014
80-84 years	M	19558	12079635	161.908865623837
< 1 year	F	1421	11614007	12.2352259646477
< 1 year	M	1738	12150282	14.304194750377
