Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	242	22336273	1.08343947980937
1-4 years	M	283	23348094	1.21209037448624
10-14 years	F	85	30807002	0.275911300943857
10-14 years	M	107	32285044	0.331422809893027
15-19 years	F	105	31361771	0.334802521196906
15-19 years	M	134	32799616	0.40854136828919
20-24 years	F	227	32216459	0.704608783975917
20-24 years	M	312	33608072	0.928348403919154
25-29 years	F	491	33209958	1.47847221005218
25-29 years	M	813	34606926	2.34924072713075
30-34 years	F	752	34168790	2.20083883567431
30-34 years	M	1491	35080377	4.25023938596783
35-39 years	F	1166	32891850	3.54495110490897
35-39 years	M	1952	33503721	5.82621852659291
40-44 years	F	1719	31319891	5.48852484831445
40-44 years	M	2573	31519949	8.16308427402595
45-49 years	F	2454	29782564	8.23972039479207
45-49 years	M	3482	29593650	11.7660376465897
5-9 years	F	105	29583597	0.354926414120636
5-9 years	M	140	30954857	0.452271512674085
50-54 years	F	3806	31187369	12.2036584746857
50-54 years	M	5465	30922631	17.6731404258583
55-59 years	F	6068	32621517	18.6012195570181
55-59 years	M	8802	31515910	27.9287509070815
60-64 years	F	8579	32546006	26.3596092251688
60-64 years	M	11893	30608745	38.8549089484067
65-69 years	F	10565	28886944	36.5736160945235
65-69 years	M	13355	26012465	51.3407706651407
70-74 years	F	12495	24153717	51.7311683332218
70-74 years	M	13921	20950833	66.4460453672653
75-79 years	F	12586	16896822	74.4873799345226
75-79 years	M	13224	13855780	95.4403144391727
80-84 years	F	12406	11154711	111.217583315247
80-84 years	M	11776	8270854	142.379493097085
< 1 year	F	540	5370106	10.0556674300284
< 1 year	M	736	5612510	13.1135623811806
