Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	593	54505227	1.08796904928036
1-4 years	M	627	56991009	1.10017353789964
10-14 years	F	199	70993737	0.280306416325147
10-14 years	M	241	74025035	0.325565533336121
15-19 years	F	280	72198032	0.387822205458454
15-19 years	M	349	75550932	0.46194003271859
20-24 years	F	635	76260355	0.832673805413048
20-24 years	M	949	80192752	1.18339871912614
25-29 years	F	1160	78274027	1.4819730687933
25-29 years	M	2131	81087779	2.62801623904386
30-34 years	F	1859	75810445	2.45216869522399
30-34 years	M	2932	76984052	3.80858102922408
35-39 years	F	2753	72640928	3.78987449059021
35-39 years	M	3981	72566087	5.48603371709983
40-44 years	F	4002	70787626	5.65353046307839
40-44 years	M	5798	69843523	8.30141400513259
45-49 years	F	6335	73724569	8.59279353671094
45-49 years	M	10194	72291990	14.1011473055314
5-9 years	F	278	69819546	0.398169303478427
5-9 years	M	302	72883351	0.414360750234989
50-54 years	F	10422	77339639	13.4756253517035
50-54 years	M	17395	74726578	23.2781969488821
55-59 years	F	15433	78300582	19.7099428967207
55-59 years	M	24744	74019679	33.4289479963835
60-64 years	F	18985	71002917	26.7383380882788
60-64 years	M	28648	65128628	43.9868010116841
65-69 years	F	21509	60339950	35.6463669592036
65-69 years	M	27540	53859859	51.1326997718282
70-74 years	F	23772	45862200	51.8335361147088
70-74 years	M	25651	39393089	65.1154825659902
75-79 years	F	26631	33154498	80.3239427724105
75-79 years	M	25840	26598427	97.1486020583097
80-84 years	F	30120	24206738	124.428165414109
80-84 years	M	26140	17397051	150.255350748814
< 1 year	F	1658	13389903	12.3824646078467
< 1 year	M	2070	14018968	14.7657088595965
