"Notes"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"ICD Chapter"	"ICD Chapter Code"	Deaths	Population	Crude Rate
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain infectious and parasitic diseases"	"A00-B99"	194	1742991	11.1
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Neoplasms"	"C00-D48"	37	1742991	2.1
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	31	1742991	1.8
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	77	1742991	4.4
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Mental and behavioural disorders"	"F01-F99"	0	1742991	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the nervous system"	"G00-G98"	103	1742991	5.9
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the eye and adnexa"	"H00-H57"	0	1742991	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the ear and mastoid process"	"H60-H93"	0	1742991	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the circulatory system"	"I00-I99"	180	1742991	10.3
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the respiratory system"	"J00-J98"	153	1742991	8.8
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the digestive system"	"K00-K92"	70	1742991	4.0
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	Suppressed	1742991	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	1742991	Suppressed
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Diseases of the genitourinary system"	"N00-N98"	28	1742991	1.6
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	1742991	Unreliable
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Certain conditions originating in the perinatal period"	"P00-P96"	4242	1742991	243.4
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	1956	1742991	112.2
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	1178	1742991	67.6
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"Codes for special purposes"	"U00-U99"	47	1742991	2.7
	"Female"	"F"	"2021"	"2021"	"< 1 year"	"1"	"External causes of morbidity and mortality"	"V01-Y89"	707	1742991	40.6
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Certain infectious and parasitic diseases"	"A00-B99"	72	7459995	1.0
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Neoplasms"	"C00-D48"	143	7459995	1.9
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	19	7459995	Unreliable
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	53	7459995	0.7
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	7459995	Suppressed
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the nervous system"	"G00-G98"	102	7459995	1.4
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the eye and adnexa"	"H00-H57"	0	7459995	Unreliable
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	7459995	Suppressed
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the circulatory system"	"I00-I99"	92	7459995	1.2
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the respiratory system"	"J00-J98"	93	7459995	1.2
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the digestive system"	"K00-K92"	25	7459995	0.3
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	7459995	Unreliable
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	7459995	Suppressed
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Diseases of the genitourinary system"	"N00-N98"	Suppressed	7459995	Suppressed
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	7459995	Unreliable
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Certain conditions originating in the perinatal period"	"P00-P96"	29	7459995	0.4
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	217	7459995	2.9
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	112	7459995	1.5
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"Codes for special purposes"	"U00-U99"	26	7459995	0.3
	"Female"	"F"	"2021"	"2021"	"1-4 years"	"1-4"	"External causes of morbidity and mortality"	"V01-Y89"	709	7459995	9.5
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Certain infectious and parasitic diseases"	"A00-B99"	31	9915390	0.3
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Neoplasms"	"C00-D48"	167	9915390	1.7
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	10	9915390	Unreliable
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	36	9915390	0.4
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	9915390	Suppressed
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the nervous system"	"G00-G98"	80	9915390	0.8
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the eye and adnexa"	"H00-H57"	0	9915390	Unreliable
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	9915390	Suppressed
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the circulatory system"	"I00-I99"	54	9915390	0.5
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the respiratory system"	"J00-J98"	46	9915390	0.5
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the digestive system"	"K00-K92"	13	9915390	Unreliable
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	9915390	Unreliable
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	Suppressed	9915390	Suppressed
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Diseases of the genitourinary system"	"N00-N98"	Suppressed	9915390	Suppressed
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	0	9915390	Unreliable
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	9915390	Suppressed
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	84	9915390	0.8
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	26	9915390	0.3
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"Codes for special purposes"	"U00-U99"	24	9915390	0.2
	"Female"	"F"	"2021"	"2021"	"5-9 years"	"5-9"	"External causes of morbidity and mortality"	"V01-Y89"	436	9915390	4.4
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Certain infectious and parasitic diseases"	"A00-B99"	34	10459561	0.3
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Neoplasms"	"C00-D48"	205	10459561	2.0
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	12	10459561	Unreliable
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	57	10459561	0.5
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Mental and behavioural disorders"	"F01-F99"	Suppressed	10459561	Suppressed
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the nervous system"	"G00-G98"	122	10459561	1.2
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the eye and adnexa"	"H00-H57"	0	10459561	Unreliable
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the ear and mastoid process"	"H60-H93"	0	10459561	Unreliable
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the circulatory system"	"I00-I99"	82	10459561	0.8
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the respiratory system"	"J00-J98"	48	10459561	0.5
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the digestive system"	"K00-K92"	23	10459561	0.2
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	0	10459561	Unreliable
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	10	10459561	Unreliable
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Diseases of the genitourinary system"	"N00-N98"	Suppressed	10459561	Suppressed
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	Suppressed	10459561	Suppressed
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	10459561	Suppressed
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	82	10459561	0.8
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	37	10459561	0.4
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"Codes for special purposes"	"U00-U99"	38	10459561	0.4
	"Female"	"F"	"2021"	"2021"	"10-14 years"	"10-14"	"External causes of morbidity and mortality"	"V01-Y89"	678	10459561	6.5
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Certain infectious and parasitic diseases"	"A00-B99"	34	10541690	0.3
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Neoplasms"	"C00-D48"	224	10541690	2.1
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	30	10541690	0.3
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	91	10541690	0.9
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Mental and behavioural disorders"	"F01-F99"	18	10541690	Unreliable
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the nervous system"	"G00-G98"	169	10541690	1.6
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	10541690	Suppressed
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the ear and mastoid process"	"H60-H93"	0	10541690	Unreliable
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the circulatory system"	"I00-I99"	162	10541690	1.5
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the respiratory system"	"J00-J98"	71	10541690	0.7
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the digestive system"	"K00-K92"	27	10541690	0.3
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the skin and subcutaneous tissue"	"L00-L98"	Suppressed	10541690	Suppressed
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the musculoskeletal system and connective tissue"	"M00-M99"	15	10541690	Unreliable
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Diseases of the genitourinary system"	"N00-N98"	10	10541690	Unreliable
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Pregnancy, childbirth and the puerperium"	"O00-O99"	34	10541690	0.3
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Certain conditions originating in the perinatal period"	"P00-P96"	Suppressed	10541690	Suppressed
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	84	10541690	0.8
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	75	10541690	0.7
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"Codes for special purposes"	"U00-U99"	137	10541690	1.3
	"Female"	"F"	"2021"	"2021"	"15-19 years"	"15-19"	"External causes of morbidity and mortality"	"V01-Y89"	2519	10541690	23.9
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Certain infectious and parasitic diseases"	"A00-B99"	77	10550759	0.7
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Neoplasms"	"C00-D48"	297	10550759	2.8
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism"	"D50-D89"	44	10550759	0.4
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	172	10550759	1.6
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Mental and behavioural disorders"	"F01-F99"	74	10550759	0.7
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the nervous system"	"G00-G98"	217	10550759	2.1
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the eye and adnexa"	"H00-H57"	Suppressed	10550759	Suppressed
	"Female"	"F"	"2021"	"2021"	"20-24 years"	"20-24"	"Diseases of the ear and mastoid process"	"H60-H93"	Suppressed	10550759	Suppressed
