Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	9	14723007	0.061128816959742
1-4 years	M	16	23348094	0.0685280777094696
10-14 years	F	13	30807002	0.042198198967884
10-14 years	M	17	32285044	0.052655960450294
15-19 years	F	47	31361771	0.149863985678615
15-19 years	M	57	32799616	0.173782522331969
20-24 years	F	202	32216459	0.627008697634957
20-24 years	M	317	33608072	0.943225782187089
25-29 years	F	584	33209958	1.7585086979032
25-29 years	M	1062	34606926	3.06874987972061
30-34 years	F	1146	34168790	3.35393790649303
30-34 years	M	2188	35080377	6.23710514855641
35-39 years	F	1373	32891850	4.17428633536879
35-39 years	M	3032	33503721	9.04974107204391
40-44 years	F	1510	31319891	4.82121728967703
40-44 years	M	3661	31519949	11.6148665088259
45-49 years	F	1666	29782564	5.59387700803732
45-49 years	M	4352	29593650	14.7058575065935
5-9 years	F	13	29583597	0.0439432703196978
5-9 years	M	20	30954857	0.0646102160962979
50-54 years	F	2138	31187369	6.85533941641567
50-54 years	M	5816	30922631	18.8082314211879
55-59 years	F	3107	32621517	9.52438845808428
55-59 years	M	8026	31515910	25.4665024744645
60-64 years	F	4039	32546006	12.4101249167102
60-64 years	M	9623	30608745	31.4387277230739
65-69 years	F	5826	28886944	20.1682808676473
65-69 years	M	9652	26012465	37.1052877918336
70-74 years	F	10869	24153717	44.9992852031843
70-74 years	M	11856	20950833	56.5896353619925
75-79 years	F	20883	16896822	123.591288349963
75-79 years	M	16907	13855780	122.021279206223
80-84 years	F	35338	11154711	316.798884345816
80-84 years	M	23666	8270854	286.137320281557
< 1 year	F	7	1800246	0.388835748003328
< 1 year	M	7	3729643	0.187685523788738
