Age_groups	Gender	Year	Deaths	Population	Crude Rate
1-4 years	F	2000	1	7508434	0.013318356397619
1-4 years	F	2001	5	7468536	0.0669475249232246
1-4 years	F	2002	7	7564711	0.0925349296225593
1-4 years	F	2003	7	7636693	0.09166271316655
1-4 years	F	2004	7	7713175	0.0907538076084103
1-4 years	F	2005	1	7785123	0.0128450122111109
1-4 years	F	2006	1	7775092	0.0128615841458853
1-4 years	F	2007	7	7813088	0.0895932568531162
1-4 years	F	2008	5	7891294	0.063360964627601
1-4 years	F	2009	9	7943260	0.113303605824309
1-4 years	F	2010	4	7952058	0.0503014439784016
1-4 years	F	2011	6	7909731	0.0758559298666415
1-4 years	F	2012	9	7856870	0.114549432534839
1-4 years	F	2013	7	7790614	0.0898517113028575
1-4 years	F	2014	9	7790662	0.115522917051208
1-4 years	F	2015	3	7786776	0.0385268563009903
1-4 years	F	2017	4	7818747	0.0511590923711945
1-4 years	F	2018	4	7798370	0.0512927701558146
1-4 years	F	2019	3	7719541	0.0388624142290325
1-4 years	F	2021	5	7459995	0.0670241736086954
1-4 years	F	2022	4	7263012	0.0550735700285226
1-4 years	M	2000	1	7861716	0.012719869300799
1-4 years	M	2001	1	7817023	0.0127925938045724
1-4 years	M	2002	9	7913020	0.113736601196509
1-4 years	M	2003	6	7979882	0.075189081743314
1-4 years	M	2004	2	8058452	0.0248186624428612
1-4 years	M	2005	2	8127884	0.0246066503901877
1-4 years	M	2006	6	8122053	0.073872948132695
1-4 years	M	2007	6	8164877	0.0734854915756845
1-4 years	M	2008	6	8247098	0.0727528640983774
1-4 years	M	2009	5	8297671	0.0602578723596055
1-4 years	M	2010	6	8305151	0.072244321626422
1-4 years	M	2011	6	8255790	0.072676267201564
1-4 years	M	2013	9	8135691	0.110623670441761
1-4 years	M	2014	1	8137871	0.0122882262449233
1-4 years	M	2015	2	8142467	0.0245625803580168
1-4 years	M	2016	4	8156375	0.0490413940016245
1-4 years	M	2017	3	8180818	0.0366711495109658
1-4 years	M	2018	8	8163697	0.0979948177890483
1-4 years	M	2019	2	8074090	0.0247705933424076
1-4 years	M	2020	6	7953016	0.0754430771923507
1-4 years	M	2021	5	7802850	0.0640791505667801
1-4 years	M	2022	5	7592228	0.065856820949002
10-14 years	F	2000	10	10007875	0.0999213119668261
10-14 years	F	2001	11	10231469	0.107511443371426
10-14 years	F	2002	10	10371422	0.0964187938741669
10-14 years	F	2003	10	10444875	0.0957407340920787
10-14 years	F	2004	10	10443706	0.0957514506823536
10-14 years	F	2005	12	10348382	0.11596015686317
10-14 years	F	2006	9	10261944	0.0877026808955496
10-14 years	F	2007	4	10170082	0.0393310496414876
10-14 years	F	2008	2	10108474	0.0197853800682477
10-14 years	F	2009	10	10088732	0.0991204841203037
10-14 years	F	2010	12	10097332	0.118843274639281
10-14 years	F	2011	9	10117822	0.0889519503308123
10-14 years	F	2012	6	10102004	0.0593941558526407
10-14 years	F	2013	7	10097931	0.0693211312297539
10-14 years	F	2014	18	10120287	0.177860568578737
10-14 years	F	2015	5	10101942	0.0494954336502823
10-14 years	F	2016	9	10099501	0.0891133136181679
10-14 years	F	2017	6	10173382	0.0589774373949587
10-14 years	F	2018	1	10220687	0.00978407811529695
10-14 years	F	2019	10	10180007	0.0982317595655877
10-14 years	F	2020	8	10159455	0.0787443814653443
10-14 years	F	2021	1	10459561	0.00956063069951024
10-14 years	F	2022	4	10187986	0.039261930670105
10-14 years	M	2000	6	10520197	0.0570331525160603
10-14 years	M	2001	5	10747209	0.0465237067595875
10-14 years	M	2002	12	10889999	0.110192847584284
10-14 years	M	2003	7	10970478	0.0638076116646877
10-14 years	M	2004	14	10967974	0.127644358019084
10-14 years	M	2005	6	10864197	0.0552272754258782
10-14 years	M	2006	7	10771194	0.0649881526597701
10-14 years	M	2007	13	10670960	0.121825965049068
10-14 years	M	2008	9	10598181	0.0849202330097967
10-14 years	M	2009	5	10571832	0.0472954923990468
10-14 years	M	2010	4	10579862	0.037807676508446
10-14 years	M	2011	2	10587030	0.0188910393188647
10-14 years	M	2012	4	10567214	0.0378529288798353
10-14 years	M	2013	8	10552523	0.0758112538584375
10-14 years	M	2014	7	10551219	0.0663430452917336
10-14 years	M	2015	6	10520388	0.0570321170664048
10-14 years	M	2016	8	10518732	0.0760547944372002
10-14 years	M	2017	7	10605072	0.0660061525277716
10-14 years	M	2018	3	10658840	0.0281456518720611
10-14 years	M	2019	3	10618261	0.0282532139678993
10-14 years	M	2020	3	10594968	0.0283153285597465
10-14 years	M	2021	8	10988223	0.0728052206439567
10-14 years	M	2022	6	10701853	0.0560650571447767
15-19 years	F	2000	26	9828886	0.264526417337631
15-19 years	F	2001	27	9908897	0.272482396375702
15-19 years	F	2002	24	9981879	0.240435693520228
15-19 years	F	2003	34	10086567	0.337081982402933
15-19 years	F	2004	36	10242793	0.351466636102087
15-19 years	F	2005	21	10434789	0.20124987673445
15-19 years	F	2006	22	10597293	0.207600186198494
15-19 years	F	2007	20	10731326	0.186370258437774
15-19 years	F	2008	20	10805148	0.185096955636332
15-19 years	F	2009	13	10804571	0.120319446278802
15-19 years	F	2010	19	10736677	0.176963505561358
15-19 years	F	2011	16	10525097	0.152017601357973
15-19 years	F	2012	11	10397841	0.105791192613928
15-19 years	F	2013	19	10312774	0.184237529107105
15-19 years	F	2014	18	10283624	0.17503557111773
15-19 years	F	2015	18	10311036	0.174570237171124
15-19 years	F	2016	12	10328153	0.116187279564894
15-19 years	F	2017	22	10331169	0.212947828072506
15-19 years	F	2018	22	10322313	0.213130526074921
15-19 years	F	2019	10	10308963	0.0970029672237644
15-19 years	F	2020	10	10266332	0.0974057725777814
15-19 years	F	2021	18	10541690	0.170750610196278
15-19 years	F	2022	19	10553749	0.180030811799674
15-19 years	M	2000	53	10391004	0.510056583560164
15-19 years	M	2001	52	10547387	0.493013103624623
15-19 years	M	2002	46	10628491	0.432798974002989
15-19 years	M	2003	48	10710599	0.448154206874891
15-19 years	M	2004	54	10859759	0.497248603767358
15-19 years	M	2005	70	11051425	0.633402479770708
15-19 years	M	2006	69	11210416	0.615499014487955
15-19 years	M	2007	42	11336490	0.370485044312658
15-19 years	M	2008	34	11405732	0.29809572941044
15-19 years	M	2009	20	11388239	0.175619777561746
15-19 years	M	2010	24	11303666	0.212320498500221
15-19 years	M	2011	20	11118946	0.17987316423697
15-19 years	M	2012	25	10962861	0.228042661491375
15-19 years	M	2013	21	10846190	0.193616375888676
15-19 years	M	2014	23	10784023	0.213278476872685
15-19 years	M	2015	25	10797867	0.231527208105082
15-19 years	M	2016	28	10801846	0.259214952703455
15-19 years	M	2017	20	10800491	0.185176766500708
15-19 years	M	2018	12	10774908	0.111369860420154
15-19 years	M	2019	19	10745607	0.176816442291254
15-19 years	M	2020	25	10694597	0.233762899153657
15-19 years	M	2021	15	11022976	0.136079403602076
15-19 years	M	2022	17	11082043	0.153401317789509
20-24 years	F	2000	46	9276187	0.495893409652048
20-24 years	F	2001	32	9676950	0.330682704777848
20-24 years	F	2002	49	9916245	0.494138658332867
20-24 years	F	2003	49	10093723	0.48545021495042
20-24 years	F	2004	67	10190641	0.657466002383952
20-24 years	F	2005	71	10222806	0.694525553942822
20-24 years	F	2006	72	10238784	0.703208506010089
20-24 years	F	2007	49	10270163	0.477110246448864
20-24 years	F	2008	40	10339566	0.386863433146033
20-24 years	F	2009	49	10459413	0.468477533108216
20-24 years	F	2010	45	10571823	0.425659793963633
20-24 years	F	2011	59	10841132	0.544223610597122
20-24 years	F	2012	72	11033747	0.652543510377753
20-24 years	F	2013	59	11116473	0.530743878926346
20-24 years	F	2014	57	11172747	0.510169969838214
20-24 years	F	2015	68	11071459	0.614191860350113
20-24 years	F	2016	88	10889963	0.808083553635582
20-24 years	F	2017	81	10769493	0.752124542910237
20-24 years	F	2018	66	10672032	0.618438925220614
20-24 years	F	2019	63	10568188	0.596128683554835
20-24 years	F	2020	56	10561909	0.530207181296487
20-24 years	F	2021	74	10550759	0.701371342099654
20-24 years	F	2022	72	11103791	0.648427190317253
20-24 years	M	2000	129	9687814	1.33156974318458
20-24 years	M	2001	121	10080336	1.20035681350304
20-24 years	M	2002	119	10327520	1.15226114304305
20-24 years	M	2003	150	10497965	1.42884835299032
20-24 years	M	2004	148	10654919	1.38902979928801
20-24 years	M	2005	171	10737149	1.59260153696293
20-24 years	M	2006	171	10797351	1.5837217850934
20-24 years	M	2007	101	10807836	0.934507148332006
20-24 years	M	2008	87	10841046	0.802505588482883
20-24 years	M	2009	94	10924709	0.860434817989202
20-24 years	M	2010	89	11014176	0.808049553593478
20-24 years	M	2011	112	11312700	0.990037745189035
20-24 years	M	2012	113	11549456	0.978401060621383
20-24 years	M	2013	105	11678965	0.899052270470885
20-24 years	M	2014	98	11739427	0.834793725451847
20-24 years	M	2015	135	11667854	1.15702510504502
20-24 years	M	2016	128	11491065	1.11390893707415
20-24 years	M	2017	97	11349142	0.854690160718757
20-24 years	M	2018	82	11201547	0.732041743876984
20-24 years	M	2019	85	11064752	0.76820519791135
20-24 years	M	2020	114	11032846	1.03327826745701
20-24 years	M	2021	102	10973238	0.929534199476946
20-24 years	M	2022	101	11601988	0.870540462548315
25-29 years	F	2000	68	9582576	0.709621295985547
25-29 years	F	2001	70	9303113	0.752436308147606
25-29 years	F	2002	63	9248586	0.681185210366212
25-29 years	F	2003	69	9307104	0.741369173482965
25-29 years	F	2004	76	9479080	0.80176557218633
25-29 years	F	2005	83	9712544	0.854564983180514
25-29 years	F	2006	98	10014422	0.97858867940656
25-29 years	F	2007	86	10229259	0.840725608765992
25-29 years	F	2008	72	10393532	0.692738522381035
25-29 years	F	2009	69	10466871	0.659222799249174
25-29 years	F	2010	92	10466258	0.879015212504794
25-29 years	F	2011	70	10518279	0.66550811211606
25-29 years	F	2012	114	10553440	1.08021649812762
25-29 years	F	2013	104	10620319	0.979254954582814
25-29 years	F	2014	122	10826549	1.1268595376052
25-29 years	F	2015	164	11052155	1.48387350702193
25-29 years	F	2016	176	11259410	1.56313696721231
25-29 years	F	2017	199	11468230	1.73522854006242
25-29 years	F	2018	198	11542918	1.71533749091867
25-29 years	F	2019	165	11504446	1.43422812363151
25-29 years	F	2020	207	11356117	1.82280615812606
25-29 years	F	2021	188	11013419	1.70700851388656
25-29 years	F	2022	189	10840422	1.74347456215265
25-29 years	M	2000	188	9798760	1.91861010985063
25-29 years	M	2001	198	9516234	2.08065501541891
25-29 years	M	2002	176	9442754	1.86386302131772
25-29 years	M	2003	223	9464481	2.35617779781057
25-29 years	M	2004	240	9627975	2.49273601146659
25-29 years	M	2005	239	9822166	2.43327184655604
25-29 years	M	2006	260	10095589	2.57538217928642
25-29 years	M	2007	178	10313439	1.72590345470604
25-29 years	M	2008	150	10509136	1.4273295159564
25-29 years	M	2009	132	10611357	1.24395023181295
25-29 years	M	2010	154	10635591	1.44796842977508
25-29 years	M	2011	170	10761515	1.57970322951741
25-29 years	M	2012	180	10844886	1.65976848442667
25-29 years	M	2013	167	10959879	1.5237394500432
25-29 years	M	2014	207	11161389	1.85460788079333
25-29 years	M	2015	225	11409399	1.97205830035395
25-29 years	M	2016	289	11631474	2.48463780256913
25-29 years	M	2017	277	11902230	2.32729496909403
25-29 years	M	2018	257	12018838	2.13830987654547
25-29 years	M	2019	257	12004570	2.14085135910741
25-29 years	M	2020	353	11875126	2.97260003809644
25-29 years	M	2021	368	11379058	3.23401111058578
25-29 years	M	2022	341	11352742	3.00367963968528
30-34 years	F	2000	132	10188619	1.29556321617287
30-34 years	F	2001	122	10263930	1.18862852727951
30-34 years	F	2002	139	10270193	1.35343123542079
30-34 years	F	2003	128	10193818	1.25566299104026
30-34 years	F	2004	127	10041145	1.26479599687087
30-34 years	F	2005	109	9835154	1.10826937737833
30-34 years	F	2006	126	9611918	1.310872606279
30-34 years	F	2007	93	9559334	0.97287112261168
30-34 years	F	2008	82	9625879	0.85187025517358
30-34 years	F	2009	79	9800559	0.806076469719737
30-34 years	F	2010	105	9965599	1.05362457389666
30-34 years	F	2011	103	10228056	1.00703398573492
30-34 years	F	2012	129	10417089	1.23834979234602
30-34 years	F	2013	157	10582777	1.48354255220534
30-34 years	F	2014	152	10719741	1.41794470594019
30-34 years	F	2015	197	10785909	1.82645709323155
30-34 years	F	2016	258	10818095	2.3848930888479
30-34 years	F	2017	263	10883081	2.41659508001457
30-34 years	F	2018	293	10944147	2.67723012126939
30-34 years	F	2019	319	11076695	2.87992040947232
30-34 years	F	2020	386	11269150	3.42528052248839
30-34 years	F	2021	388	11428324	3.39507350334135
30-34 years	F	2022	372	11471316	3.24287117537343
30-34 years	M	2000	339	10321769	3.28432073998168
30-34 years	M	2001	332	10388245	3.195920003812
30-34 years	M	2002	281	10388113	2.70501485688498
30-34 years	M	2003	303	10278392	2.94793193332187
30-34 years	M	2004	311	10118356	3.0736218413347
30-34 years	M	2005	285	9888783	2.88205333254861
30-34 years	M	2006	328	9673250	3.39079420050138
30-34 years	M	2007	206	9611431	2.14328126581775
30-34 years	M	2008	179	9678926	1.84937874305476
30-34 years	M	2009	187	9844555	1.89952720056925
30-34 years	M	2010	224	9996500	2.24078427449607
30-34 years	M	2011	226	10282648	2.19787743390613
30-34 years	M	2012	241	10493906	2.29657098129143
30-34 years	M	2013	258	10681612	2.41536577063462
30-34 years	M	2014	327	10808825	3.02530571084276
30-34 years	M	2015	339	10889739	3.11302226802681
30-34 years	M	2016	401	10968264	3.65600244487186
30-34 years	M	2017	419	11089131	3.77847461627065
30-34 years	M	2018	464	11191871	4.14586622737163
30-34 years	M	2019	483	11354610	4.25377886162537
30-34 years	M	2020	711	11569253	6.14559989309595
30-34 years	M	2021	754	11674304	6.45862913969004
30-34 years	M	2022	723	11836820	6.10805942812343
35-39 years	F	2000	204	11387968	1.79136435929571
35-39 years	F	2001	241	11141510	2.16308202389084
35-39 years	F	2002	262	10903446	2.40291005247332
35-39 years	F	2003	248	10660101	2.32643199159182
35-39 years	F	2004	219	10453320	2.09502818243391
35-39 years	F	2005	231	10411620	2.2186749036173
35-39 years	F	2006	249	10489448	2.37381414160211
