Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	30	46704710	0.0642333503408971
1-4 years	M	29	56991009	0.050885219456283
10-14 years	F	56	70993737	0.0788801975588354
10-14 years	M	42	74025035	0.0567375618262119
15-19 years	F	121	72198032	0.16759459593026
15-19 years	M	148	75550932	0.195894340522497
20-24 years	F	482	76260355	0.632045313715101
20-24 years	M	730	80192752	0.910306707020106
25-29 years	F	1128	78274027	1.44109105310245
25-29 years	M	1679	81087779	2.07059561959392
30-34 years	F	1639	75810445	2.16197121649926
30-34 years	M	2691	76984052	3.49552917791337
35-39 years	F	1735	72640928	2.38846067605304
35-39 years	M	3579	72566087	4.93205593406187
40-44 years	F	2039	70787626	2.88044693008917
40-44 years	M	4320	69843523	6.18525500209948
45-49 years	F	3094	73724569	4.19670137373065
45-49 years	M	6804	72291990	9.41183110327991
5-9 years	F	38	69819546	0.0544260198999289
5-9 years	M	38	72883351	0.0521381076454621
50-54 years	F	4328	77339639	5.59609542527086
50-54 years	M	10159	74726578	13.5948952459726
55-59 years	F	5636	78300582	7.19790307561188
55-59 years	M	13461	74019679	18.1857043719414
60-64 years	F	6819	71002917	9.60383078345922
60-64 years	M	14932	65128628	22.9269377515522
65-69 years	F	10241	60339950	16.9721718364036
65-69 years	M	15729	53859859	29.2035669829734
70-74 years	F	20237	45862200	44.1256634003602
70-74 years	M	21525	39393089	54.6415641586269
75-79 years	F	42098	33154498	126.975229725994
75-79 years	M	34025	26598427	127.921098492027
80-84 years	F	85581	24206738	353.54205923987
80-84 years	M	57972	17397051	333.228890344691
< 1 year	F	27	13389903	0.201644477932364
< 1 year	M	14	5980745	0.234084549667307
