Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-0.2511925541962672,-363.6985944808054
10-14 years,-1.921037023145331,-1442.4629202460717
15-19 years,1.2200837751964415,932.9731731837048
20-24 years,0.31660272865137373,277.5829367099712
25-29 years,-0.14924956538177758,-179.09591288601615
30-34 years,-0.8963486192643861,-1410.0638951197602
35-39 years,-0.025267674642250437,-45.09509537509536
40-44 years,-0.5305651660109754,-1183.8219880230074
45-49 years,-0.5009647949566911,-1064.403261318256
5-9 years,-3.270852276638659,-686.4669488328302
50-54 years,-0.6070110198380527,-1177.2143118389124
55-59 years,-0.5479897625985142,-1142.1393332515618
60-64 years,0.06833648772131773,119.40389670809903
65-69 years,-0.2601630929027581,-370.5732031833594
70-74 years,0.021250600878436554,22.088311252895007
75-79 years,0.08785334052951121,61.829957267636416
80-84 years,0.2260372910163122,121.30641128116888
< 1 year,-6.90582811926182,-2768.638685817456
