Year,Hypothetical_Excess_Deaths
2000,5.896840703055921
2001,-13.916595356689971
2002,4.64658420119164
2003,-2.8723876629513
2004,-27.592122539546864
2005,-8.229344645763014
2006,-11.835565405345974
2007,-12.214427255133979
2008,-4.693014713794606
2009,12.939638329725867
2010,-0.5007221695060052
2011,3.1089565808358692
2012,0.1748799818021851
2013,-6.842037332104675
2014,2.148549664788616
2015,20.97631602426415
2016,-3.8293137413273133
2017,5.71961730459385
2018,-12.06146880078
2019,17.77447266560973
2020,5.0668110029451885
2021,20.227562682173975
2022,7.646160091431156
