Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	5444	55141393	9.87280100087424
1-4 years	M	8103	57592037	14.0696534140649
10-14 years	F	3521	70946390	4.96290227029169
10-14 years	M	6802	74346273	9.14908000835496
15-19 years	F	15225	74597953	20.4094072125545
15-19 years	M	47623	78726350	60.4918175426652
20-24 years	F	20056	73754628	27.192869849469
20-24 years	M	83289	77247274	107.821280528294
25-29 years	F	20510	72642061	28.2343310716363
25-29 years	M	75862	73771513	102.833732039629
30-34 years	F	20187	69208434	29.168410312535
30-34 years	M	65018	69581216	93.4418852352336
35-39 years	F	23163	71466469	32.4110038233455
35-39 years	M	63551	71026064	89.4756043358956
40-44 years	F	28829	75182391	38.3454152183056
40-44 years	M	70049	74260384	94.3288954713727
45-49 years	F	35192	79848889	44.0732494098947
45-49 years	M	80611	77905451	103.472862251962
5-9 years	F	2831	68744459	4.11815008974032
5-9 years	M	4198	71785330	5.84799150467094
50-54 years	F	33385	77921219	42.844555601729
50-54 years	M	77008	74871731	102.853238427198
55-59 years	F	25624	69915755	36.6498223469088
55-59 years	M	61655	65723918	93.8090757157843
60-64 years	F	18682	58345098	32.0198279553837
60-64 years	M	44253	53767510	82.3043507129119
65-69 years	F	15474	44744864	34.5827400436394
65-69 years	M	32838	39751700	82.6077878430357
70-74 years	F	15840	34985842	45.2754574264641
70-74 years	M	29249	29338685	99.6943114526094
75-79 years	F	21081	29298124	71.9534124437455
75-79 years	M	32027	22386145	143.066168828979
80-84 years	F	30085	24187176	124.384095108912
80-84 years	M	35962	15919008	225.906036356034
< 1 year	F	4855	13794201	35.1959493703187
< 1 year	M	6550	14415623	45.4368153218213
