Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	2005	22336273	8.97643040089992
1-4 years	M	3071	23348094	13.1531079153613
10-14 years	F	1979	30807002	6.42386428903403
10-14 years	M	3561	32285044	11.0298750096175
15-19 years	F	7122	31361771	22.7091767234701
15-19 years	M	22849	32799616	69.6624009256694
20-24 years	F	12471	32216459	38.7100270703245
20-24 years	M	43024	33608072	128.016864519928
25-29 years	F	16177	33209958	48.7112931609248
25-29 years	M	54315	34606926	156.94835189927
30-34 years	F	19301	34168790	56.487221233178
30-34 years	M	60874	35080377	173.527211523411
35-39 years	F	19602	32891850	59.595310084413
35-39 years	M	57499	33503721	171.619743371192
40-44 years	F	18188	31319891	58.0717218971164
40-44 years	M	51577	31519949	163.632878974519
45-49 years	F	16522	29782564	55.4754117207639
45-49 years	M	44637	29593650	150.833033437917
5-9 years	F	1206	29583597	4.07658338504273
5-9 years	M	1752	30954857	5.6598549300357
50-54 years	F	17933	31187369	57.5008427289907
50-54 years	M	46889	30922631	151.633281139629
55-59 years	F	18956	32621517	58.1088856168154
55-59 years	M	49369	31515910	156.64786452303
60-64 years	F	16934	32546006	52.0309619558234
60-64 years	M	44777	30608745	146.288258469924
65-69 years	F	13615	28886944	47.1320192264021
65-69 years	M	33357	26012465	128.234675183609
70-74 years	F	13141	24153717	54.4057049273203
70-74 years	M	26672	20950833	127.30758724486
75-79 years	F	14307	16896822	84.6727272146206
75-79 years	M	23816	13855780	171.884946210174
80-84 years	F	16339	11154711	146.476228743174
80-84 years	M	22038	8270854	266.453742261682
< 1 year	F	2097	5370106	39.0495085199436
< 1 year	M	2893	5612510	51.5455651749395
