Population,Five-Year Age Groups,Gender,Year
1856631,< 1 year,Female,2000
1962905,< 1 year,Female,2001
1942634,< 1 year,Female,2003
1962216,< 1 year,Female,2004
1956682,< 1 year,Female,2005
2027181,< 1 year,Female,2007
2022889,< 1 year,Female,2008
1959169,< 1 year,Female,2009
1929877,< 1 year,Female,2010
1926339,< 1 year,Female,2012
1925056,< 1 year,Female,2013
1942904,< 1 year,Female,2015
1939667,< 1 year,Female,2016
1924145,< 1 year,Female,2017
1847935,< 1 year,Female,2019
1943639,< 1 year,Male,1999
1949017,< 1 year,Male,2000
2049753,< 1 year,Male,2001
2018522,< 1 year,Male,2002
2033237,< 1 year,Male,2003
2052042,< 1 year,Male,2004
2047711,< 1 year,Male,2005
2065819,< 1 year,Male,2006
2109846,< 1 year,Male,2008
2044418,< 1 year,Male,2009
2014276,< 1 year,Male,2010
2043710,< 1 year,Male,2011
2016738,< 1 year,Male,2012
2017857,< 1 year,Male,2014
2035134,< 1 year,Male,2015
2030478,< 1 year,Male,2016
2015150,< 1 year,Male,2017
1935117,< 1 year,Male,2019
1908141,< 1 year,Male,2020
7493614,1-4 years,Female,1999
7508434,1-4 years,Female,2000
7468536,1-4 years,Female,2001
7564711,1-4 years,Female,2002
7713175,1-4 years,Female,2004
7785123,1-4 years,Female,2005
7775092,1-4 years,Female,2006
7891294,1-4 years,Female,2008
7943260,1-4 years,Female,2009
7790662,1-4 years,Female,2014
7786776,1-4 years,Female,2015
7818747,1-4 years,Female,2017
7719541,1-4 years,Female,2019
7846168,1-4 years,Male,1999
7861716,1-4 years,Male,2000
7817023,1-4 years,Male,2001
7913020,1-4 years,Male,2002
7979882,1-4 years,Male,2003
8058452,1-4 years,Male,2004
8127884,1-4 years,Male,2005
8122053,1-4 years,Male,2006
8164877,1-4 years,Male,2007
8247098,1-4 years,Male,2008
8255790,1-4 years,Male,2011
8199397,1-4 years,Male,2012
8135691,1-4 years,Male,2013
8137871,1-4 years,Male,2014
8142467,1-4 years,Male,2015
8156375,1-4 years,Male,2016
8074090,1-4 years,Male,2019
10052618,5-9 years,Female,1999
10026228,5-9 years,Female,2000
9844298,5-9 years,Female,2001
9555173,5-9 years,Female,2006
10028044,5-9 years,Female,2015
10508974,5-9 years,Male,2013
10478429,5-9 years,Male,2014
9855664,10-14 years,Female,1999
10231469,10-14 years,Female,2001
10371422,10-14 years,Female,2002
10170082,10-14 years,Female,2007
10088732,10-14 years,Female,2009
10097332,10-14 years,Female,2010
10097931,10-14 years,Female,2013
10101942,10-14 years,Female,2015
10173382,10-14 years,Female,2017
10889999,10-14 years,Male,2002
10970478,10-14 years,Male,2003
10864197,10-14 years,Male,2005
10567214,10-14 years,Male,2012
10518732,10-14 years,Male,2016
10658840,10-14 years,Male,2018
10618261,10-14 years,Male,2019
9761569,15-19 years,Female,1999
10731326,15-19 years,Female,2007
10805148,15-19 years,Female,2008
10397841,15-19 years,Female,2012
10312774,15-19 years,Female,2013
10308963,15-19 years,Female,2019
10323033,15-19 years,Male,1999
10391004,15-19 years,Male,2000
11210416,15-19 years,Male,2006
11388239,15-19 years,Male,2009
10962861,15-19 years,Male,2012
10797867,15-19 years,Male,2015
10694597,15-19 years,Male,2020
9098615,20-24 years,Female,1999
10222806,20-24 years,Female,2005
10238784,20-24 years,Female,2006
10270163,20-24 years,Female,2007
10339566,20-24 years,Female,2008
11172747,20-24 years,Female,2014
11071459,20-24 years,Female,2015
10889963,20-24 years,Female,2016
9492814,20-24 years,Male,1999
9687814,20-24 years,Male,2000
10497965,20-24 years,Male,2003
11549456,20-24 years,Male,2012
11667854,20-24 years,Male,2015
11201547,20-24 years,Male,2018
11064752,20-24 years,Male,2019
11032846,20-24 years,Male,2020
