Age Group,Female Death Rate,Male Death Rate
1-4 years,1.080155746187941,1.191776898804468
10-14 years,0.3491125112384177,0.3827105914089468
15-19 years,0.5363692570791743,0.5822524911621096
20-24 years,1.0603953774807633,1.3761007368339695
25-29 years,2.098363497024778,3.1528868328728983
30-34 years,3.565705964277235,5.948253902534543
35-39 years,5.577432426358095,10.469490468693676
40-44 years,8.064505123135794,15.675415143345923
45-49 years,10.810777343842448,21.909458644632334
5-9 years,0.38183416702595835,0.4261177404406763
50-54 years,14.39917291975101,28.49425892383416
55-59 years,19.107468116846853,34.51612803658387
60-64 years,25.56835828066908,40.383484228437666
65-69 years,35.56439153998667,49.122579234561144
70-74 years,52.61710322683452,66.03808231773554
75-79 years,81.57284646646963,100.31641178852686
80-84 years,127.3284266456626,156.27798531032778
< 1 year,12.207873367403533,14.635028135684655
