Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,3.0846830142005786,5727.920651318039
10-14 years,0.511033723050744,1255.1826640052311
15-19 years,0.1758254846825551,441.78889398510086
20-24 years,12.72383295336924,32195.598154800748
25-29 years,45.293649027493174,111938.08466022236
30-34 years,97.40258448282805,236716.82217260316
35-39 years,180.76991139436126,437045.9107724845
40-44 years,247.1583636225422,601536.7787287141
45-49 years,326.7071461751755,793853.8611582245
5-9 years,1.2707440965009589,3006.000285151925
50-54 years,365.1757623804866,862424.175316148
55-59 years,328.0142386441063,708825.9148319013
60-64 years,231.78767831278753,425578.95417443424
65-69 years,135.89512317901733,199787.43296193602
70-74 years,68.55690538779356,77469.26880975404
75-79 years,50.73207775108631,41346.706274911754
80-84 years,54.480365085931,29237.731279416403
< 1 year,124.17325703161748,57364.79513447076
