Age,Excess YPLL Rate,Excess YPLL Number
1-4 years,-0.61078662584355925,-836.7293947229033
10-14 years,-0.1563173452818427,-283.4097950864737
15-19 years,-0.4195554224528233,-872.3847953095831
20-24 years,-1.4122696787311573,-3573.519648463936
25-29 years,-2.368403368731504,-5853.238643627473
30-34 years,-3.557289992518899,-8645.257074507434
35-39 years,-1.8836502955129042,-4554.08564749109
40-44 years,-0.9493410331690164,-2310.5167821858618
45-49 years,-0.884299902548431,-2148.7283038599626
5-9 years,-0.03403896752859792,-52.29475680522582
50-54 years,0.5851482814601567,1381.926392886208
55-59 years,-1.838160171385347,-3972.192092866619
60-64 years,-0.4052423837250103,-744.0543479628531
65-69 years,-4.807558701064778,-7067.875500096346
70-74 years,-6.836638432783992,-7725.398010726695
75-79 years,-11.32032645741343,-9226.080099996754
80-84 years,-17.684389711255506,-9490.601492897998
< 1 year,-2.8538975376355182,-1144.3504407747441
