Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	456	55141393	0.826964962600782
1-4 years	M	540	57592037	0.937629624039865
10-14 years	F	340	70946390	0.479235095682811
10-14 years	M	396	74346273	0.53264270557315
15-19 years	F	590	74597953	0.790906420716397
15-19 years	M	662	78726350	0.840887453819465
20-24 years	F	1103	73754628	1.49549937395115
20-24 years	M	1414	77247274	1.83048530618699
25-29 years	F	1696	72642061	2.33473551913677
25-29 years	M	2092	73771513	2.8357829667937
30-34 years	F	2237	69208434	3.23226501556154
30-34 years	M	3036	69581216	4.3632465405606
35-39 years	F	3262	71466469	4.56437829606497
35-39 years	M	4814	71026064	6.77779357166687
40-44 years	F	5451	75182391	7.25036797512865
40-44 years	M	8104	74260384	10.9129519179432
45-49 years	F	8856	79848889	11.0909495559794
45-49 years	M	14027	77905451	18.0051585863998
5-9 years	F	282	68744459	0.410214880009456
5-9 years	M	339	71785330	0.472241333988435
50-54 years	F	13917	77921219	17.8603468716268
50-54 years	M	21418	74871731	28.606257280201
55-59 years	F	19879	69915755	28.4327902916875
55-59 years	M	29563	65723918	44.980580737746
60-64 years	F	25389	58345098	43.515223849654
60-64 years	M	35959	53767510	66.8786782203602
65-69 years	F	28866	44744864	64.5124320860602
65-69 years	M	37764	39751700	94.9997107041963
70-74 years	F	34206	34985842	97.7709783288909
70-74 years	M	39337	29338685	134.078947301149
75-79 years	F	43619	29298124	148.879839541945
75-79 years	M	42903	22386145	191.649790528919
80-84 years	F	54792	24187176	226.533267050275
80-84 years	M	45449	15919008	285.501458382331
< 1 year	F	604	13794201	4.37865157974717
< 1 year	M	833	14415623	5.77845300199651
