Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	177	22336273	0.792433007959743
1-4 years	M	163	23348094	0.698129791665221
10-14 years	F	170	30807002	0.551822601887714
10-14 years	M	183	32285044	0.566825927200223
15-19 years	F	261	31361771	0.832223409832308
15-19 years	M	337	32799616	1.0274510530855
20-24 years	F	514	32216459	1.59545777517014
20-24 years	M	793	33608072	2.35955219329452
25-29 years	F	1014	33209958	3.05330106108535
25-29 years	M	1503	34606926	4.34306127045205
30-34 years	F	1598	34168790	4.67678252580791
30-34 years	M	2481	35080377	7.0723299239344
35-39 years	F	2329	32891850	7.08078140937649
35-39 years	M	3767	33503721	11.2435272488092
40-44 years	F	3408	31319891	10.8812639226618
40-44 years	M	5376	31519949	17.0558651601879
45-49 years	F	5074	29782564	17.0368138888243
45-49 years	M	8169	29593650	27.603894754449
5-9 years	F	103	29583597	0.348165910994528
5-9 years	M	119	30954857	0.384430785772973
50-54 years	F	7837	31187369	25.1287628655049
50-54 years	M	13154	30922631	42.5384243662837
55-59 years	F	12279	32621517	37.6408000890946
55-59 years	M	20578	31515910	65.2940054721568
60-64 years	F	17984	32546006	55.257164273859
60-64 years	M	28513	30608745	93.1531168625175
65-69 years	F	22794	28886944	78.9076199960785
65-69 years	M	33572	26012465	129.061202004501
70-74 years	F	28400	24153717	117.5802465517
70-74 years	M	37146	20950833	177.300826177174
75-79 years	F	29690	16896822	175.713515831557
75-79 years	M	34915	13855780	251.988700744382
80-84 years	F	30523	11154711	273.633265801328
80-84 years	M	31024	8270854	375.100322167457
< 1 year	F	201	5370106	3.74294287673279
< 1 year	M	268	5612510	4.77504717140816
