Population,Five-Year Age Groups,Gender,Year
1932939,< 1 year,Female,2002
1956682,< 1 year,Female,2005
1975919,< 1 year,Female,2006
2022889,< 1 year,Female,2008
1925056,< 1 year,Female,2013
1847935,< 1 year,Female,2019
2049753,< 1 year,Male,2001
2018522,< 1 year,Male,2002
2033237,< 1 year,Male,2003
2052042,< 1 year,Male,2004
2047711,< 1 year,Male,2005
2065819,< 1 year,Male,2006
2014276,< 1 year,Male,2010
2016727,< 1 year,Male,2013
7564711,1-4 years,Female,2002
7713175,1-4 years,Female,2004
7790614,1-4 years,Female,2013
7719541,1-4 years,Female,2019
7861716,1-4 years,Male,2000
8058452,1-4 years,Male,2004
8142467,1-4 years,Male,2015
10026228,5-9 years,Female,2000
9936097,5-9 years,Female,2017
10172682,5-9 years,Male,2002
10039604,5-9 years,Male,2003
9951006,5-9 years,Male,2004
10315990,5-9 years,Male,2018
10231469,10-14 years,Female,2001
10108474,10-14 years,Female,2008
10102004,10-14 years,Female,2012
10220687,10-14 years,Female,2018
10889999,10-14 years,Male,2002
10864197,10-14 years,Male,2005
10670960,10-14 years,Male,2007
10618261,10-14 years,Male,2019
9828886,15-19 years,Female,2000
9908897,15-19 years,Female,2001
9981879,15-19 years,Female,2002
10597293,15-19 years,Female,2006
10805148,15-19 years,Female,2008
10736677,15-19 years,Female,2010
10397841,15-19 years,Female,2012
10328153,15-19 years,Female,2016
10331169,15-19 years,Female,2017
10391004,15-19 years,Male,2000
10710599,15-19 years,Male,2003
11051425,15-19 years,Male,2005
11405732,15-19 years,Male,2008
10962861,15-19 years,Male,2012
10801846,15-19 years,Male,2016
9276187,20-24 years,Female,2000
9676950,20-24 years,Female,2001
10270163,20-24 years,Female,2007
10339566,20-24 years,Female,2008
11033747,20-24 years,Female,2012
9687814,20-24 years,Male,2000
10841046,20-24 years,Male,2008
11014176,20-24 years,Male,2010
11549456,20-24 years,Male,2012
11739427,20-24 years,Male,2014
11349142,20-24 years,Male,2017
11064752,20-24 years,Male,2019
9582576,25-29 years,Female,2000
10229259,25-29 years,Female,2007
10518279,25-29 years,Female,2011
10553440,25-29 years,Female,2012
11468230,25-29 years,Female,2017
11504446,25-29 years,Female,2019
9464481,25-29 years,Male,2003
10095589,25-29 years,Male,2006
10313439,25-29 years,Male,2007
10509136,25-29 years,Male,2008
10844886,25-29 years,Male,2012
11409399,25-29 years,Male,2015
11902230,25-29 years,Male,2017
12018838,25-29 years,Male,2018
12004570,25-29 years,Male,2019
10193818,30-34 years,Female,2003
10785909,30-34 years,Female,2015
9844555,30-34 years,Male,2009
9996500,30-34 years,Male,2010
10681612,30-34 years,Male,2013
11191871,30-34 years,Male,2018
11569253,30-34 years,Male,2020
11474154,35-39 years,Female,1999
11141510,35-39 years,Female,2001
10489448,35-39 years,Female,2006
10137620,35-39 years,Female,2010
9832998,35-39 years,Female,2011
10451785,35-39 years,Male,2006
9761311,35-39 years,Male,2011
9785269,35-39 years,Male,2013
10376442,35-39 years,Male,2016
11195450,40-44 years,Female,1999
10757924,40-44 years,Female,2008
10571486,40-44 years,Female,2011
10569227,40-44 years,Female,2012
10488928,40-44 years,Female,2013
9919930,40-44 years,Female,2016
10998678,40-44 years,Male,1999
11363212,40-44 years,Male,2004
10617099,40-44 years,Male,2008
10430574,40-44 years,Male,2009
10393977,40-44 years,Male,2010
10458994,40-44 years,Male,2012
10359992,40-44 years,Male,2013
10030153,40-44 years,Male,2015
9753115,40-44 years,Male,2017
