Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1220	45676672	2.67094765573114
1-4 years	M	1517	47757977	3.17643270358793
10-14 years	F	1519	61847729	2.45603197491698
10-14 years	M	1879	64960054	2.89254685656511
15-19 years	F	1844	60483811	3.04874968940036
15-19 years	M	2777	64188665	4.32630901421614
20-24 years	F	2524	59376552	4.25083625603588
20-24 years	M	3662	61985703	5.90781393573934
25-29 years	F	3963	56633003	6.99768649033144
25-29 years	M	4365	57672370	7.56861561264085
30-34 years	F	8324	60792859	13.6923976547969
30-34 years	M	7097	61383658	11.5617091441504
35-39 years	F	17679	64957965	27.2160619563744
35-39 years	M	13179	64673296	20.3778078667894
40-44 years	F	36020	68912428	52.2692365446767
40-44 years	M	29219	67757258	43.1230555404116
45-49 years	F	59930	65053497	92.1241789661208
45-49 years	M	57396	63195287	90.8232286372875
5-9 years	F	1505	58128639	2.58908521838951
5-9 years	M	1818	60930800	2.98371267076749
50-54 years	F	88155	58107486	151.710228867929
50-54 years	M	95752	55645932	172.073674675806
55-59 years	F	116978	47669658	245.392991911123
55-59 years	M	136356	44836574	304.117794548709
60-64 years	F	143376	37430470	383.046218762415
60-64 years	M	175333	34102355	514.137513377009
65-69 years	F	172511	31525239	547.215518334373
65-69 years	M	216559	27391872	790.595838064664
70-74 years	F	218914	28979391	755.412700011536
70-74 years	M	267548	23317343	1147.42061306042
75-79 years	F	253837	26104765	972.37803136707
75-79 years	M	290845	18659772	1558.67392163205
80-84 years	F	237288	19836633	1196.21107069935
80-84 years	M	243582	12079635	2016.46821282266
< 1 year	F	412	11614007	3.54744060340243
< 1 year	M	416	12150282	3.42378884704075
