Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1185	54505227	2.17410341213697
1-4 years	M	1431	56991009	2.51092238075659
10-14 years	F	1459	70993737	2.05511086139894
10-14 years	M	1781	74025035	2.40594280029722
15-19 years	F	1783	72198032	2.46959640118722
15-19 years	M	2658	75550932	3.51815646695133
20-24 years	F	2420	76260355	3.1733395418891
20-24 years	M	3773	80192752	4.70491398025597
25-29 years	F	4515	78274027	5.76819690138084
25-29 years	M	5261	81087779	6.48803070558882
30-34 years	F	9076	75810445	11.971965076844
30-34 years	M	7731	76984052	10.0423396783531
35-39 years	F	16393	72640928	22.5671676441138
35-39 years	M	12250	72566087	16.8811637866046
40-44 years	F	28342	70787626	40.0380710606116
40-44 years	M	21340	69843523	30.5540142927784
45-49 years	F	52487	73724569	71.1933629615386
45-49 years	M	44937	72291990	62.1604136225881
5-9 years	F	1484	69819546	2.12547930346038
5-9 years	M	1688	72883351	2.31602962383
50-54 years	F	96920	77339639	125.317367979957
50-54 years	M	97361	74726578	130.289654104059
55-59 years	F	158022	78300582	201.814591876214
55-59 years	M	183299	74019679	247.635497041267
60-64 years	F	208908	71002917	294.224531648467
60-64 years	M	262155	65128628	402.518843172928
65-69 years	F	252571	60339950	418.580061799852
65-69 years	M	317060	53859859	588.675881977337
70-74 years	F	272122	45862200	593.347026527293
70-74 years	M	332308	39393089	843.569286988385
75-79 years	F	268596	33154498	810.134419770132
75-79 years	M	315246	26598427	1185.20542586973
80-84 years	F	254680	24206738	1052.1037572266
80-84 years	M	284482	17397051	1635.23116647758
< 1 year	F	377	13389903	2.81555437705561
< 1 year	M	349	14018968	2.4894842473426
