Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1378	55141393	2.49903008435061
1-4 years	M	1575	57592037	2.73475307011627
10-14 years	F	1586	70946390	2.23549076986158
10-14 years	M	1831	74346273	2.46279998460716
15-19 years	F	1952	74597953	2.61669378514984
15-19 years	M	2888	78726350	3.66840327285591
20-24 years	F	2808	73754628	3.80721871446494
20-24 years	M	4359	77247274	5.64291757402339
25-29 years	F	4649	72642061	6.39987348376583
25-29 years	M	5500	73771513	7.45545235055705
30-34 years	F	8548	69208434	12.3510958216451
30-34 years	M	7434	69581216	10.6839179125585
35-39 years	F	16847	71466469	23.5732928123257
35-39 years	M	12650	71026064	17.8103632491869
40-44 years	F	33802	75182391	44.9599960182166
40-44 years	M	26022	74260384	35.0415640188448
45-49 years	F	66737	79848889	83.5791215579718
45-49 years	M	60234	77905451	77.3167977681048
5-9 years	F	1596	68744459	2.32164166133012
5-9 years	M	1899	71785330	2.64538729570513
50-54 years	F	108817	77921219	139.650022672258
50-54 years	M	117883	74871731	157.446606917636
55-59 years	F	149300	69915755	213.542712940738
55-59 years	M	181847	65723918	276.683139918713
60-64 years	F	191324	58345098	327.917865524881
60-64 years	M	238289	53767510	443.18399717599
65-69 years	F	218515	44744864	488.357725257585
65-69 years	M	270761	39751700	681.130618313179
70-74 years	F	239387	34985842	684.239641852839
70-74 years	M	289817	29338685	987.83227673633
75-79 years	F	265619	29298124	906.607535690681
75-79 years	M	309425	22386145	1382.21654509966
80-84 years	F	275563	24187176	1139.29381420965
80-84 years	M	296094	15919008	1860.00283434747
< 1 year	F	412	13794201	2.98676233585403
< 1 year	M	478	14415623	3.3158469807375
