Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1742	55141393	3.15915123870737
1-4 years	M	1805	57592037	3.13411383591103
10-14 years	F	530	70946390	0.747042943270264
10-14 years	M	611	74346273	0.821830033093925
15-19 years	F	590	74597953	0.790906420716397
15-19 years	M	899	78726350	1.14193024317779
20-24 years	F	619	73754628	0.839269367611752
20-24 years	M	945	77247274	1.22334414027348
25-29 years	F	605	72642061	0.83285081903169
25-29 years	M	879	73771513	1.19151683929812
30-34 years	F	586	69208434	0.846717612480583
30-34 years	M	780	69581216	1.12099219421517
35-39 years	F	662	71466469	0.926308532187311
35-39 years	M	834	71026064	1.17421683397802
40-44 years	F	724	75182391	0.962991453676965
40-44 years	M	937	74260384	1.26177640018667
45-49 years	F	985	79848889	1.23358009401984
45-49 years	M	1207	77905451	1.54931392413093
5-9 years	F	595	68744459	0.865524303566052
5-9 years	M	660	71785330	0.919407906880138
50-54 years	F	1215	77921219	1.55926718754233
50-54 years	M	1374	74871731	1.83513855182539
55-59 years	F	1388	69915755	1.98524638688376
55-59 years	M	1536	65723918	2.33704874380739
60-64 years	F	1143	58345098	1.95903347355762
60-64 years	M	1311	53767510	2.43827545668379
65-69 years	F	786	44744864	1.75662619066179
65-69 years	M	798	39751700	2.00746131611981
70-74 years	F	617	34985842	1.76357053233134
70-74 years	M	562	29338685	1.91555961011886
75-79 years	F	635	29298124	2.16737426601103
75-79 years	M	568	22386145	2.53728366362319
80-84 years	F	701	24187176	2.89823003727264
80-84 years	M	558	15919008	3.50524354281372
< 1 year	F	17918	13794201	129.895163917069
< 1 year	M	19702	14415623	136.671165720691
