Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	633	22336273	2.83395533355095
1-4 years	M	602	23348094	2.57836892381879
10-14 years	F	231	30807002	0.749829535506246
10-14 years	M	303	32285044	0.938515059790533
15-19 years	F	260	31361771	0.829034814392338
15-19 years	M	342	32799616	1.04269513399181
20-24 years	F	258	32216459	0.800832891038708
20-24 years	M	355	33608072	1.0562938570234
25-29 years	F	261	33209958	0.78590885300126
25-29 years	M	421	34606926	1.21651949092502
30-34 years	F	323	34168790	0.945307106280322
30-34 years	M	394	35080377	1.12313502218063
35-39 years	F	341	32891850	1.03673098351111
35-39 years	M	410	33503721	1.22374467003232
40-44 years	F	355	31319891	1.13346499194394
40-44 years	M	443	31519949	1.40545912685328
45-49 years	F	420	29782564	1.41022109446319
45-49 years	M	497	29593650	1.67941433381823
5-9 years	F	277	29583597	0.936329682965868
5-9 years	M	306	30954857	0.988536306273358
50-54 years	F	629	31187369	2.01684213888001
50-54 years	M	743	30922631	2.40277096732164
55-59 years	F	901	32621517	2.76198068900352
55-59 years	M	1013	31515910	3.21424956474365
60-64 years	F	898	32546006	2.75917112532948
60-64 years	M	1004	30608745	3.28010834812077
65-69 years	F	625	28886944	2.16360719915544
65-69 years	M	711	26012465	2.73330497513404
70-74 years	F	470	24153717	1.94587027744011
70-74 years	M	469	20950833	2.23857447577383
75-79 years	F	410	16896822	2.42649179828017
75-79 years	M	409	13855780	2.95183670641422
80-84 years	F	355	11154711	3.1825118553049
80-84 years	M	294	8270854	3.55465106747139
< 1 year	F	5830	5370106	108.563965031603
< 1 year	M	6146	5612510	109.505372818935
