Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1439	54505227	2.64011376376801
1-4 years	M	1528	56991009	2.68112466652415
10-14 years	F	520	70993737	0.732458977332043
10-14 years	M	651	74025035	0.879432208306284
15-19 years	F	529	72198032	0.732706952455435
15-19 years	M	736	75550932	0.974177260976741
20-24 years	F	548	76260355	0.718590937584804
20-24 years	M	799	80192752	0.996349395765842
25-29 years	F	616	78274027	0.786978802048858
25-29 years	M	847	81087779	1.04454704573916
30-34 years	F	653	75810445	0.861358880032956
30-34 years	M	902	76984052	1.17167124432473
35-39 years	F	676	72640928	0.930604851303662
35-39 years	M	791	72566087	1.09004086164933
40-44 years	F	735	70787626	1.03831706405863
40-44 years	M	833	69843523	1.19266606869187
45-49 years	F	1026	73724569	1.39166632496692
45-49 years	M	1118	72291990	1.54650605136198
5-9 years	F	642	69819546	0.919513283572483
5-9 years	M	694	72883351	0.952206492261861
50-54 years	F	1407	77339639	1.81924821242054
50-54 years	M	1673	74726578	2.2388285999126
55-59 years	F	1993	78300582	2.54531952265693
55-59 years	M	2156	74019679	2.91273892176701
60-64 years	F	1753	71002917	2.46891265044787
60-64 years	M	1996	65128628	3.06470451058788
65-69 years	F	1140	60339950	1.88929556620448
65-69 years	M	1266	53859859	2.35054458646095
70-74 years	F	844	45862200	1.84029549389257
70-74 years	M	786	39393089	1.99527384105369
75-79 years	F	679	33154498	2.04798757622571
75-79 years	M	630	26598427	2.3685611182947
80-84 years	F	698	24206738	2.88349466995512
80-84 years	M	575	17397051	3.30515786842264
< 1 year	F	15409	13389903	115.0792503874
< 1 year	M	17090	14018968	121.906263000244
