Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	1534	45676672	3.35838828187833
1-4 years	M	1680	47757977	3.51773694266824
10-14 years	F	563	61847729	0.910300198734864
10-14 years	M	640	64960054	0.985220855881678
15-19 years	F	556	60483811	0.919254244743275
15-19 years	M	905	64188665	1.40990625058178
20-24 years	F	584	59376552	0.98355323832209
20-24 years	M	831	61985703	1.34063172599656
25-29 years	F	540	56633003	0.953507621695427
25-29 years	M	746	57672370	1.2935136877503
30-34 years	F	628	60792859	1.03301606525859
30-34 years	M	778	61383658	1.26743831395646
35-39 years	F	674	64957965	1.03759408103379
35-39 years	M	809	64673296	1.25090269096537
40-44 years	F	843	68912428	1.22329168259751
40-44 years	M	975	67757258	1.43896023655503
45-49 years	F	877	65053497	1.34812122398278
45-49 years	M	1045	63195287	1.65360432653783
5-9 years	F	564	58128639	0.970261835994474
5-9 years	M	596	60930800	0.97815882936052
50-54 years	F	1001	58107486	1.72266960577162
50-54 years	M	1086	55645932	1.95162514305628
55-59 years	F	1047	47669658	2.19636566303874
55-59 years	M	1032	44836574	2.30169236391701
60-64 years	F	866	37430470	2.31362309904204
60-64 years	M	855	34102355	2.50715822998148
65-69 years	F	682	31525239	2.1633460098431
65-69 years	M	627	27391872	2.28900018224384
70-74 years	F	627	28979391	2.16360654369859
70-74 years	M	595	23317343	2.55174871339329
75-79 years	F	754	26104765	2.88836156923841
75-79 years	M	600	18659772	3.21547337234346
80-84 years	F	867	19836633	4.37070141893536
80-84 years	M	565	12079635	4.67729364339237
< 1 year	F	15867	11614007	136.619514694627
< 1 year	M	17807	12150282	146.556269228978
