"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"ICD Chapter"	"ICD Chapter Code"	"Race"	"Race Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	39	339713	11.5
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	15	339713	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	21	339713	6.2
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	65	339713	19.1
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	47	339713	13.8
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Diseases of the digestive system"	"K00-K92"	"White"	"2106-3"	29	339713	8.5
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	"Black or African American"	"2054-5"	31	17870	173.5
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Certain conditions originating in the perinatal period"	"P00-P96"	"White"	"2106-3"	904	339713	266.1
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"Black or African American"	"2054-5"	11	17870	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Congenital malformations, deformations and chromosomal abnormalities"	"Q00-Q99"	"White"	"2106-3"	522	339713	153.7
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified"	"R00-R99"	"White"	"2106-3"	171	339713	50.3
	"< 1 year"	"1"	"Female"	"F"	"1999"	"1999"	"External causes of morbidity and mortality"	"V01-Y89"	"White"	"2106-3"	83	339713	24.4
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Certain infectious and parasitic diseases"	"A00-B99"	"White"	"2106-3"	50	344761	14.5
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Endocrine, nutritional and metabolic diseases"	"E00-E88"	"White"	"2106-3"	23	344761	6.7
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the nervous system"	"G00-G98"	"White"	"2106-3"	28	344761	8.1
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the circulatory system"	"I00-I99"	"White"	"2106-3"	53	344761	15.4
	"< 1 year"	"1"	"Female"	"F"	"2000"	"2000"	"Diseases of the respiratory system"	"J00-J98"	"White"	"2106-3"	56	344761	16.2
