Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	5017	22336273	22.4612226041471
1-4 years	M	6484	23348094	27.7710034917625
10-14 years	F	4254	30807002	13.8085491084137
10-14 years	M	6400	32285044	19.8234204048165
15-19 years	F	10595	31361771	33.7831686864878
15-19 years	M	27835	32799616	84.8637984054448
20-24 years	F	18728	32216459	58.13177667974
20-24 years	M	52197	33608072	155.310902690282
25-29 years	F	27762	33209958	83.5954083410765
25-29 years	M	71424	34606926	206.386432588667
30-34 years	F	40114	34168790	117.399533316808
30-34 years	M	90829	35080377	258.916829770672
35-39 years	F	51533	32891850	156.674069716358
35-39 years	M	103423	33503721	308.691085387202
40-44 years	F	65932	31319891	210.511588306613
40-44 years	M	120146	31519949	381.17447461606
45-49 years	F	87216	29782564	292.842483273099
45-49 years	M	148502	29593650	501.803596379629
5-9 years	F	3140	29583597	10.6139899079885
5-9 years	M	4043	30954857	13.0609551838666
50-54 years	F	132782	31187369	425.755696160199
50-54 years	M	221963	30922631	717.801146998132
55-59 years	F	209686	32621517	642.784331580901
55-59 years	M	339473	31515910	1077.14801825491
60-64 years	F	308209	32546006	946.994847847075
60-64 years	M	478893	30608745	1564.5626764508
65-69 years	F	383908	28886944	1329.00178018139
65-69 years	M	559629	26012465	2151.38780580772
70-74 years	F	487521	24153717	2018.40983729337
70-74 years	M	636296	20950833	3037.091651678
75-79 years	F	560445	16896822	3316.86633143203
75-79 years	M	654205	13855780	4721.53137535382
80-84 years	F	627441	11154711	5624.89696057567
80-84 years	M	634549	8270854	7672.10979664252
< 1 year	F	26916	5370106	501.219156567859
< 1 year	M	33139	5612510	590.448836616772
