Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	12681	45676672	27.7625305101037
1-4 years	M	16769	47757977	35.112458804526
10-14 years	F	9412	61847729	15.2180203738766
10-14 years	M	14649	64960054	22.5507817465792
15-19 years	F	23357	60483811	38.6169449540804
15-19 years	M	58577	64188665	91.2575452379326
20-24 years	F	28255	59376552	47.586124569847
20-24 years	M	87639	61985703	141.385828922518
25-29 years	F	31022	56633003	54.7772471115473
25-29 years	M	79418	57672370	137.705455836131
30-34 years	F	44933	60792859	73.9116414972357
30-34 years	M	92209	61383658	150.217505773279
35-39 years	F	73959	64957965	113.856707179789
35-39 years	M	131842	64673296	203.858482796362
40-44 years	F	121786	68912428	176.725742416157
40-44 years	M	204633	67757258	302.008974448169
45-49 years	F	169743	65053497	260.928324883134
45-49 years	M	286321	63195287	453.073343903003
5-9 years	F	7867	58128639	13.5337763541995
5-9 years	M	10120	60930800	16.6090056260545
50-54 years	F	219771	58107486	378.214607322712
50-54 years	M	362964	55645932	652.274096154953
55-59 years	F	276063	47669658	579.116804236355
55-59 years	M	423632	44836574	944.835794099701
60-64 years	F	345217	37430470	922.288712912234
60-64 years	M	495932	34102355	1454.24560855108
65-69 years	F	450782	31525239	1429.90827127433
65-69 years	M	603817	27391872	2204.36558698872
70-74 years	F	652766	28979391	2252.51800495048
70-74 years	M	799312	23317343	3427.97204638625
75-79 years	F	944297	26104765	3617.33576226409
75-79 years	M	1001039	18659772	5364.69041529553
80-84 years	F	1203949	19836633	6069.32134097556
80-84 years	M	1034662	12079635	8565.3415852383
< 1 year	F	73488	11614007	632.753191900091
< 1 year	M	94550	12150282	778.171239153132
