Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	13671	55141393	24.79262720113
1-4 years	M	17623	57592037	30.5997164156566
10-14 years	F	8774	70946390	12.3670844985911
10-14 years	M	13118	74346273	17.6444621507792
15-19 years	F	23202	74597953	31.1027301245116
15-19 years	M	59318	78726350	75.3470724858958
20-24 years	F	33786	73754628	45.8086508144275
20-24 years	M	103577	77247274	134.084990494292
25-29 years	F	41122	72642061	56.6090766615226
25-29 years	M	103931	73771513	140.882294226499
30-34 years	F	50903	69208434	73.550284348292
30-34 years	M	104943	69581216	150.820876714773
35-39 years	F	74510	71466469	104.258683887125
35-39 years	M	130106	71026064	183.180641968278
40-44 years	F	122188	75182391	162.522099090996
40-44 years	M	195968	74260384	263.893060396779
45-49 years	F	204071	79848889	255.57149580378
45-49 years	M	320481	77905451	411.371728019391
5-9 years	F	7697	68744459	11.1965387639461
5-9 years	M	9889	71785330	13.7757951380874
50-54 years	F	293246	77921219	376.336514961348
50-54 years	M	471946	74871731	630.339373347733
55-59 years	F	371896	69915755	531.920165919684
55-59 years	M	599240	65723918	911.753313306732
60-64 years	F	466643	58345098	799.798125285521
60-64 years	M	693944	53767510	1290.63815676047
65-69 years	F	553401	44744864	1236.79222714813
65-69 years	M	751621	39751700	1890.78957629485
70-74 years	F	686472	34985842	1962.14228601387
70-74 years	M	844997	29338685	2880.14612788542
75-79 years	F	942522	29298124	3217.00461094369
75-79 years	M	1024134	22386145	4574.85645697372
80-84 years	F	1314839	24187176	5436.0996918367
80-84 years	M	1192116	15919008	7488.63245749987
< 1 year	F	81403	13794201	590.124792294965
< 1 year	M	102933	14415623	714.03781855283
