Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	22	46706857	0.047102291639962
1-4 years	M	45	56991009	0.0789598232942322
10-14 years	F	46	70993737	0.0647944479947576
10-14 years	M	43	74025035	0.0580884561554074
15-19 years	F	146	72198032	0.202221578560479
15-19 years	M	90	75550932	0.119124936804221
20-24 years	F	351	76260355	0.460265363307055
20-24 years	M	199	80192752	0.248152102324659
25-29 years	F	546	78274027	0.697549392725125
25-29 years	M	225	81087779	0.277477078266011
30-34 years	F	698	75810445	0.920717455226651
30-34 years	M	359	76984052	0.466330351122594
35-39 years	F	871	72640928	1.19904855841049
35-39 years	M	429	72566087	0.591185246077827
40-44 years	F	1141	70787626	1.61186363277672
40-44 years	M	606	69843523	0.867653826683399
45-49 years	F	1622	73724569	2.20008068138045
45-49 years	M	1011	72291990	1.39849518598119
5-9 years	F	32	69819546	0.0458324378104664
5-9 years	M	27	72883351	0.0370454975375652
50-54 years	F	2293	77339639	2.96484445705778
50-54 years	M	1622	74726578	2.17057979023206
55-59 years	F	3325	78300582	4.24645630347933
55-59 years	M	2484	74019679	3.35586432359427
60-64 years	F	4363	71002917	6.14481796571823
60-64 years	M	3351	65128628	5.14520281311622
65-69 years	F	5423	60339950	8.98741215397096
65-69 years	M	3952	53859859	7.33756098396024
70-74 years	F	6246	45862200	13.6190588327642
70-74 years	M	4350	39393089	11.0425460669002
75-79 years	F	6710	33154498	20.2385812024661
75-79 years	M	4421	26598427	16.6212836571125
80-84 years	F	7727	24206738	31.9208643477696
80-84 years	M	4461	17397051	25.642276958319
< 1 year	F	32	13389903	0.238986047919839
< 1 year	M	33	14018968	0.235395358631249
