Five-Year Age Groups	Gender	Deaths	Population	Crude Rate
1-4 years	F	40	55141393	0.072540786193051
1-4 years	M	35	49392640	0.0708607598217062
10-14 years	F	95	70946390	0.133903923793727
10-14 years	M	45	74346273	0.060527580178767
15-19 years	F	201	74597953	0.269444390786434
15-19 years	M	122	78726350	0.154967174268844
20-24 years	F	459	73754628	0.622333828326
20-24 years	M	211	77247274	0.273148797457888
25-29 years	F	616	72642061	0.847993561195903
25-29 years	M	247	73771513	0.334817587379562
30-34 years	F	747	69208434	1.07934821932252
30-34 years	M	333	69581216	0.478577436761094
35-39 years	F	1007	71466469	1.40905240470185
35-39 years	M	434	71026064	0.61104329250175
40-44 years	F	1349	75182391	1.79430313675446
40-44 years	M	706	74260384	0.950708792456554
45-49 years	F	2016	79848889	2.5247690046132
45-49 years	M	1150	77905451	1.476148312138
5-9 years	F	35	68744459	0.0509131943274148
5-9 years	M	36	71785330	0.0501495221934621
50-54 years	F	2707	77921219	3.47402162689472
50-54 years	M	1648	74871731	2.20109776812827
55-59 years	F	3314	69915755	4.73999029260286
55-59 years	M	2196	65723918	3.34124937591213
60-64 years	F	4074	58345098	6.98259175089568
60-64 years	M	2476	53767510	4.60501146510225
65-69 years	F	4567	44744864	10.2067580314916
65-69 years	M	2849	39751700	7.16698908474355
70-74 years	F	5438	34985842	15.5434303967874
70-74 years	M	3143	29338685	10.7128182466256
75-79 years	F	7214	29298124	24.6227369370134
75-79 years	M	3820	22386145	17.0641260476067
80-84 years	F	9365	24187176	38.718864905932
80-84 years	M	4350	15919008	27.3258233176339
< 1 year	F	42	13794201	0.304475772101624
< 1 year	M	46	14415623	0.319098245008211
